ID_MOEDA;DATA_REF;VL_COTACAO
USD;23/10/2000 00:00:00;5,2352584
USD;24/10/2000 00:00:00;3,337854743
USD;25/10/2000 00:00:00;5,765478313
USD;26/10/2000 00:00:00;4,33886981
USD;27/10/2000 00:00:00;2,862408698
USD;30/10/2000 00:00:00;3,123151898
USD;31/10/2000 00:00:00;2,159342706
USD;01/11/2000 00:00:00;1,658009052
USD;02/11/2000 00:00:00;4,152793705
USD;03/11/2000 00:00:00;7,258588672
USD;06/11/2000 00:00:00;2,483256996
USD;07/11/2000 00:00:00;6,245592356
USD;08/11/2000 00:00:00;3,462065279
USD;09/11/2000 00:00:00;6,864709496
USD;10/11/2000 00:00:00;5,813087881
USD;13/11/2000 00:00:00;5,561519623
USD;14/11/2000 00:00:00;7,348023713
USD;15/11/2000 00:00:00;5,455613494
USD;16/11/2000 00:00:00;2,044037998
USD;17/11/2000 00:00:00;7,607682943
USD;20/11/2000 00:00:00;2,742492735
USD;21/11/2000 00:00:00;2,423329473
USD;22/11/2000 00:00:00;7,437520921
USD;23/11/2000 00:00:00;4,287341595
USD;24/11/2000 00:00:00;3,873194516
USD;27/11/2000 00:00:00;6,272190928
USD;28/11/2000 00:00:00;3,918036163
USD;29/11/2000 00:00:00;6,514497042
USD;30/11/2000 00:00:00;2,935624659
USD;01/12/2000 00:00:00;7,603211045
USD;04/12/2000 00:00:00;6,120044172
USD;05/12/2000 00:00:00;4,073267937
USD;06/12/2000 00:00:00;6,514927208
USD;07/12/2000 00:00:00;2,848457694
USD;08/12/2000 00:00:00;4,184841335
USD;11/12/2000 00:00:00;4,22726512
USD;12/12/2000 00:00:00;3,757769644
USD;13/12/2000 00:00:00;5,755428433
USD;14/12/2000 00:00:00;6,307434976
USD;15/12/2000 00:00:00;2,078966618
USD;18/12/2000 00:00:00;6,294217885
USD;19/12/2000 00:00:00;4,621425509
USD;20/12/2000 00:00:00;6,033418357
USD;21/12/2000 00:00:00;1,679092646
USD;22/12/2000 00:00:00;5,909611285
USD;25/12/2000 00:00:00;5,277930856
USD;26/12/2000 00:00:00;7,305845678
USD;27/12/2000 00:00:00;3,885980606
USD;28/12/2000 00:00:00;3,966437638
USD;29/12/2000 00:00:00;5,824981093
USD;01/01/2001 00:00:00;2,262107074
USD;02/01/2001 00:00:00;2,974960089
USD;03/01/2001 00:00:00;7,576208174
USD;04/01/2001 00:00:00;1,115542531
USD;05/01/2001 00:00:00;6,780803621
USD;08/01/2001 00:00:00;5,997727871
USD;09/01/2001 00:00:00;6,521332562
USD;10/01/2001 00:00:00;2,989886165
USD;11/01/2001 00:00:00;6,778622329
USD;12/01/2001 00:00:00;4,891722918
USD;15/01/2001 00:00:00;7,926993906
USD;16/01/2001 00:00:00;6,259962678
USD;17/01/2001 00:00:00;4,257211149
USD;18/01/2001 00:00:00;6,339501381
USD;19/01/2001 00:00:00;2,683023751
USD;22/01/2001 00:00:00;5,443777442
USD;23/01/2001 00:00:00;2,100053966
USD;24/01/2001 00:00:00;7,378111601
USD;25/01/2001 00:00:00;3,615777075
USD;26/01/2001 00:00:00;6,249765515
USD;29/01/2001 00:00:00;4,619345605
USD;30/01/2001 00:00:00;7,758469105
USD;31/01/2001 00:00:00;1,410007298
USD;01/02/2001 00:00:00;3,811166644
USD;02/02/2001 00:00:00;5,852866828
USD;05/02/2001 00:00:00;3,054731607
USD;06/02/2001 00:00:00;6,280741274
USD;07/02/2001 00:00:00;4,670400262
USD;08/02/2001 00:00:00;7,610859334
USD;09/02/2001 00:00:00;7,523674011
USD;12/02/2001 00:00:00;7,395154297
USD;13/02/2001 00:00:00;1,51344049
USD;14/02/2001 00:00:00;4,27290076
USD;15/02/2001 00:00:00;1,714063406
USD;16/02/2001 00:00:00;4,044445097
