ID_MOEDA;DATA_REF;VL_COTACAO
JPY;13/03/2000 00:00:00;6,32780385
JPY;14/03/2000 00:00:00;5,915626109
JPY;15/03/2000 00:00:00;5,403441072
JPY;16/03/2000 00:00:00;6,498650968
JPY;17/03/2000 00:00:00;7,599556923
JPY;20/03/2000 00:00:00;2,949732125
JPY;21/03/2000 00:00:00;6,50302732
JPY;22/03/2000 00:00:00;7,344179332
JPY;23/03/2000 00:00:00;1,380110502
JPY;24/03/2000 00:00:00;6,406655371
JPY;27/03/2000 00:00:00;1,486505628
JPY;28/03/2000 00:00:00;1,081000268
JPY;29/03/2000 00:00:00;1,857880116
JPY;30/03/2000 00:00:00;5,658649266
